body,utc,tt_jd,tdb_minus_tt_s,ra_deg,dec_deg,dist_km
sun,2020-01-01T12:00:00,2458850.0008007409,-0.000080466,281.149733973,-23.041037826,147096975.684310
moon,2020-01-01T12:00:00,2458850.0008007409,-0.000080466,354.496947116,-7.907316516,404414.397623
venus,2020-01-01T12:00:00,2458850.0008007409,-0.000080466,317.780260954,-18.160875957,190768594.757844
mars,2020-01-01T12:00:00,2458850.0008007409,-0.000080466,236.293194534,-19.464671834,326245493.834677
jupiter,2020-01-01T12:00:00,2458850.0008007409,-0.000080466,277.092094496,-23.188631470,928735072.692193
saturn,2020-01-01T12:00:00,2458850.0008007409,-0.000080466,292.891125945,-21.718031338,1645275849.221979
sun,2020-03-31T12:00:00,2458940.0008007409,0.001649559,10.077849379,4.337767507,149468527.579030
moon,2020-03-31T12:00:00,2458940.0008007409,0.001649559,89.859728326,23.208759313,389213.644147
venus,2020-03-31T12:00:00,2458940.0008007409,0.001649559,53.585965717,22.889232756,98426946.406434
mars,2020-03-31T12:00:00,2458940.0008007409,0.001649559,302.603659144,-21.045838964,219090331.207274
jupiter,2020-03-31T12:00:00,2458940.0008007409,0.001649559,295.958462289,-21.358356120,797180080.532331
saturn,2020-03-31T12:00:00,2458940.0008007409,0.001649559,302.576802492,-20.128998096,1542677077.104904
sun,2020-06-29T12:00:00,2459030.0008007409,0.000120699,98.625662259,23.199879989,152088752.411079
moon,2020-06-29T12:00:00,2459030.0008007409,0.000120699,203.335895876,-4.583073201,369105.131193
venus,2020-06-29T12:00:00,2459030.0008007409,0.000120699,64.213672157,17.273454352,56555660.606823
mars,2020-06-29T12:00:00,2459030.0008007409,0.000120699,1.764050929,-2.609513760,123729540.361253
jupiter,2020-06-29T12:00:00,2459030.0008007409,0.000120699,295.845043870,-21.607802452,624793653.834662
saturn,2020-06-29T12:00:00,2459030.0008007409,0.000120699,302.098855359,-20.368837416,1355880785.475837
sun,2020-09-27T12:00:00,2459120.0008007409,-0.001689792,184.183463528,-1.811264244,149921876.275068
moon,2020-09-27T12:00:00,2459120.0008007409,-0.001689792,319.157620755,-19.981012909,394233.930562
venus,2020-09-27T12:00:00,2459120.0008007409,-0.001689792,145.838604130,13.719754088,156847810.160128
mars,2020-09-27T12:00:00,2459120.0008007409,-0.001689792,25.187202240,6.321086726,62991076.011586
jupiter,2020-09-27T12:00:00,2459120.0008007409,-0.001689792,288.979510784,-22.724019170,719764723.268322
saturn,2020-09-27T12:00:00,2459120.0008007409,-0.001689792,297.057266249,-21.425431759,1437091221.975061
sun,2020-12-26T12:00:00,2459210.0008007409,-0.000281632,275.331052482,-23.346189842,147116954.471718
moon,2020-12-26T12:00:00,2459210.0008007409,-0.000281632,52.167182670,16.533935067,403276.222137
venus,2020-12-26T12:00:00,2459210.0008007409,-0.000281632,251.948982613,-21.512793388,230323598.717851
mars,2020-12-26T12:00:00,2459210.0008007409,-0.000281632,22.663016392,10.294132028,127069959.864399
jupiter,2020-12-26T12:00:00,2459210.0008007409,-0.000281632,303.598697054,-20.350169159,891597959.536384
saturn,2020-12-26T12:00:00,2459210.0008007409,-0.000281632,303.020377112,-20.367340646,1625207904.034639
sun,2021-03-26T12:00:00,2459300.0008007409,0.001649559,5.289922648,2.288672685,149238571.907735
moon,2021-03-26T12:00:00,2459300.0008007409,0.001649559,158.462908352,14.423846715,371607.378577
venus,2021-03-26T12:00:00,2459300.0008007409,0.001649559,5.873415104,1.070080857,257777151.502922
mars,2021-03-26T12:00:00,2459300.0008007409,0.001649559,71.226739599,23.808541197,255804033.799630
jupiter,2021-03-26T12:00:00,2459300.0008007409,0.001649559,324.426577341,-14.827014094,858551423.590604
saturn,2021-03-26T12:00:00,2459300.0008007409,0.001649559,313.235005333,-18.053749874,1572265737.753138
sun,2021-06-24T12:00:00,2459390.0008007409,0.000281632,93.168430518,23.404564748,152053618.471782
moon,2021-06-24T12:00:00,2459390.0008007409,0.000281632,268.926592309,-25.115645106,360978.036994
venus,2021-06-24T12:00:00,2459390.0008007409,0.000281632,118.783772019,22.373680450,227983188.273386
mars,2021-06-24T12:00:00,2459390.0008007409,0.000281632,130.448716294,19.572328624,358200048.962046
jupiter,2021-06-24T12:00:00,2459390.0008007409,0.000281632,334.221209790,-11.726605764,664324500.302009
saturn,2021-06-24T12:00:00,2459390.0008007409,0.000281632,315.086521410,-17.754583055,1369133556.466991
sun,2021-09-22T12:00:00,2459480.0008007409,-0.001649559,179.455900382,0.235965710,150141607.705972
moon,2021-09-22T12:00:00,2459480.0008007409,-0.001649559,17.079632691,3.288632716,395401.659038
venus,2021-09-22T12:00:00,2459480.0008007409,-0.001649559,220.043987378,-17.281941724,142328523.814895
mars,2021-09-22T12:00:00,2459480.0008007409,-0.001649559,184.488234548,-1.108639550,394640898.793403
jupiter,2021-09-22T12:00:00,2459480.0008007409,-0.001649559,325.848608080,-14.939402426,624141204.497414
saturn,2021-09-22T12:00:00,2459480.0008007409,-0.001649559,309.474282625,-19.346798452,1390951554.209449
sun,2021-12-21T12:00:00,2459570.0008007409,-0.000402331,269.491820866,-23.435554050,147163986.813282
moon,2021-12-21T12:00:00,2459570.0008007409,-0.000402331,117.467692841,25.310000865,402703.736660
venus,2021-12-21T12:00:00,2459570.0008007409,-0.000402331,298.053327441,-20.670396264,46294785.709837
mars,2021-12-21T12:00:00,2459570.0008007409,-0.000402331,243.449627505,-21.214209346,358191602.388885
jupiter,2021-12-21T12:00:00,2459570.0008007409,-0.000402331,330.807691695,-13.016746283,812896610.811682
saturn,2021-12-21T12:00:00,2459570.0008007409,-0.000402331,313.193905409,-18.389956361,1592271474.103580
sun,2022-03-21T12:00:00,2459660.0008007409,0.001609325,0.500384418,0.216603594,149009257.290247
moon,2022-03-21T12:00:00,2459660.0008007409,0.001609325,219.407950682,-14.279192808,371674.178747
venus,2022-03-21T12:00:00,2459660.0008007409,0.001609325,315.884443230,-14.784838740,102698756.838026
mars,2022-03-21T12:00:00,2459660.0008007409,0.001609325,313.881319726,-18.483503514,279634418.108337
jupiter,2022-03-21T12:00:00,2459660.0008007409,0.001609325,349.824509549,-5.459761678,889696473.601855
saturn,2022-03-21T12:00:00,2459660.0008007409,0.001609325,323.419617538,-15.457970131,1592793633.794349
sun,2022-06-19T12:00:00,2459750.0008007409,0.000442564,87.707937945,23.419524668,152004119.763225
moon,2022-06-19T12:00:00,2459750.0008007409,0.000442564,340.903900878,-13.471890680,373382.568307
venus,2022-06-19T12:00:00,2459750.0008007409,0.000442564,53.601331717,17.456022445,200075641.845460
mars,2022-06-19T12:00:00,2459750.0008007409,0.000442564,17.726552498,5.559765140,203196461.752417
jupiter,2022-06-19T12:00:00,2459750.0008007409,0.000442564,5.995968442,1.240380902,748660731.386615
saturn,2022-06-19T12:00:00,2459750.0008007409,0.000442564,327.460616477,-14.368560406,1389875810.044342
sun,2022-09-17T12:00:00,2459840.0008007409,-0.001609325,174.744252182,2.274384655,150366216.022380
moon,2022-09-17T12:00:00,2459840.0008007409,-0.001609325,78.606962306,26.014174493,401683.801606
venus,2022-09-17T12:00:00,2459840.0008007409,-0.001609325,166.704811859,7.206315083,253022247.874182
mars,2022-09-17T12:00:00,2459840.0008007409,-0.001609325,73.193939949,21.543534708,129083508.436781
jupiter,2022-09-17T12:00:00,2459840.0008007409,-0.001609325,4.871456296,0.350564529,592970043.105588
saturn,2022-09-17T12:00:00,2459840.0008007409,-0.001609325,322.139113839,-16.291135002,1349574317.246626
sun,2022-12-16T12:00:00,2459930.0008007409,-0.000563264,263.662821220,-23.308290425,147234390.987037
moon,2022-12-16T12:00:00,2459930.0008007409,-0.000563264,177.482125478,5.183981625,394828.522486
venus,2022-12-16T12:00:00,2459930.0008007409,-0.000563264,278.375305089,-24.167361818,246530740.447866
mars,2022-12-16T12:00:00,2459930.0008007409,-0.000563264,70.933557407,24.861642575,85014222.544096
jupiter,2022-12-16T12:00:00,2459930.0008007409,-0.000563264,359.938978801,-1.502225824,712804593.420501
saturn,2022-12-16T12:00:00,2459930.0008007409,-0.000563264,323.486418182,-15.782793699,1548086186.567123
sun,2023-03-16T12:00:00,2460020.0008007409,0.001528859,355.698395653,-1.862799816,148796436.376092
moon,2023-03-16T12:00:00,2460020.0008007409,0.001528859,285.517144282,-27.539566050,368682.816581
venus,2023-03-16T12:00:00,2460020.0008007409,0.001528859,27.067966780,11.259475480,192478065.576081
mars,2023-03-16T12:00:00,2460020.0008007409,0.001528859,84.952663968,25.591754940,194402277.158506
jupiter,2023-03-16T12:00:00,2460020.0008007409,0.001528859,14.338350995,4.950808950,879044608.044348
saturn,2023-03-16T12:00:00,2460020.0008007409,0.001528859,333.245404972,-12.432145603,1602495558.437922
sun,2023-06-14T12:00:00,2460110.0008007409,0.000603497,82.243329517,23.244684307,151939419.452163
moon,2023-06-14T12:00:00,2460110.0008007409,0.000603497,36.702826993,15.143175825,384394.209729
venus,2023-06-14T12:00:00,2460110.0008007409,0.000603497,130.796919305,20.286966895,93999248.006830
mars,2023-06-14T12:00:00,2460110.0008007409,0.000603497,136.981266047,17.884988888,314191867.272060
jupiter,2023-06-14T12:00:00,2460110.0008007409,0.000603497,33.942720838,12.435874225,836801705.377286
saturn,2023-06-14T12:00:00,2460110.0008007409,0.000603497,339.195516414,-10.444586830,1415841583.320532
sun,2023-09-12T12:00:00,2460200.0008007409,-0.001528859,170.029353653,4.292904683,150581280.493633
moon,2023-09-12T12:00:00,2460200.0008007409,-0.001528859,145.090944295,18.849839719,406261.827958
venus,2023-09-12T12:00:00,2460200.0008007409,-0.001528859,133.991912248,11.291554561,59384856.236954
mars,2023-09-12T12:00:00,2460200.0008007409,-0.001528859,189.382267116,-3.463433116,376142674.938521
jupiter,2023-09-12T12:00:00,2460200.0008007409,-0.001528859,43.090223992,15.082518362,648280425.004116
saturn,2023-09-12T12:00:00,2460200.0008007409,-0.001528859,334.941358667,-12.324379103,1316658984.861832
sun,2023-12-11T12:00:00,2460290.0008007409,-0.000683963,257.866649776,-22.967423791,147317135.018362
moon,2023-12-11T12:00:00,2460290.0008007409,-0.000683963,237.250994193,-23.167161892,381522.263396
venus,2023-12-11T12:00:00,2460290.0008007409,-0.000683963,216.005105934,-11.906259983,156695138.076411
mars,2023-12-11T12:00:00,2460290.0008007409,-0.000683963,250.386769566,-22.563097053,371026695.871905
jupiter,2023-12-11T12:00:00,2460290.0008007409,-0.000683963,34.032055983,12.272864094,630543104.853637
saturn,2023-12-11T12:00:00,2460290.0008007409,-0.000683963,333.993298111,-12.544193552,1495067542.659375
sun,2024-03-10T12:00:00,2460380.0008007409,0.001488626,350.878167054,-3.931759904,148593685.100599
moon,2024-03-10T12:00:00,2460380.0008007409,0.001488626,353.345804780,-5.159107863,356939.023628
venus,2024-03-10T12:00:00,2460380.0008007409,0.001488626,330.467113008,-13.167659787,230970001.387177
mars,2024-03-10T12:00:00,2460380.0008007409,0.001488626,322.731892519,-15.891750172,325106816.960468
jupiter,2024-03-10T12:00:00,2460380.0008007409,0.001488626,40.512282699,14.801404894,828729200.647168
saturn,2024-03-10T12:00:00,2460380.0008007409,0.001488626,342.850238862,-9.048487148,1600159303.282597
sun,2024-06-08T12:00:00,2460470.0008007409,0.000724196,76.794148842,22.880954704,151853875.888837
moon,2024-06-08T12:00:00,2460470.0008007409,0.000724196,104.284475785,27.866389272,385101.625358
venus,2024-06-08T12:00:00,2460470.0008007409,0.000724196,77.917700108,23.065502250,259543661.706812
mars,2024-06-08T12:00:00,2460470.0008007409,0.000724196,27.506006980,10.113790011,273757417.673433
jupiter,2024-06-08T12:00:00,2460470.0008007409,0.000724196,60.918361843,20.025136114,896771779.254173
saturn,2024-06-08T12:00:00,2460470.0008007409,0.000724196,350.366110589,-6.202231782,1444207694.704629
sun,2024-09-06T12:00:00,2460560.0008007409,-0.001448393,165.303954334,6.275982070,150780969.408547
moon,2024-09-06T12:00:00,2460560.0008007409,-0.001448393,199.035857943,-9.505278761,405908.930105
venus,2024-09-06T12:00:00,2460560.0008007409,-0.001448393,188.951509771,-2.946979922,223165749.379859
mars,2024-09-06T12:00:00,2460560.0008007409,-0.001448393,90.727328639,23.442258463,209175881.350873
jupiter,2024-09-06T12:00:00,2460560.0008007409,-0.001448393,78.396952124,22.302292859,753556800.002628
