OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-08-03T19:06:47.841984,15.49332738,.00072249,51.6316,64.4821,9.2337,350.8783,0,U,25544,999,57913,.14146099E-3,.7444E-4,0
POISK,2009-060A,2026-08-03T19:06:47.841984,15.49332738,.00072249,51.6316,64.4821,9.2337,350.8783,0,U,36086,999,57850,.14146099E-3,.7444E-4,0
CSS (TIANHE),2021-035A,2026-08-03T21:20:17.656800,15.58767623,.00010056,41.4692,32.4131,278.9657,81.1067,0,U,48274,999,30061,.26196623E-3,.20511E-3,0
ISS (NAUKA),2021-066A,2026-08-03T19:06:47.841984,15.49332738,.00072249,51.6316,64.4821,9.2337,350.8783,0,U,49044,999,57854,.14146099E-3,.7444E-4,0
FREGAT DEB,2011-037PF,2026-08-03T04:28:17.774976,12.43240482,.09081488,51.6356,220.5240,25.1508,339.0866,0,U,49271,999,23089,.18054514E-1,.1105E-3,0
CSS (WENTIAN),2022-085A,2026-08-03T21:20:17.656800,15.58767623,.00010056,41.4692,32.4131,278.9657,81.1067,0,U,53239,999,28823,.26196623E-3,.20511E-3,0
CSS (MENGTIAN),2022-143A,2026-08-03T21:20:17.656800,15.58767623,.00010056,41.4692,32.4131,278.9657,81.1067,0,U,54216,999,30047,.26196623E-3,.20511E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-08-03T18:26:12.132672,15.82271250,.00029105,51.6198,33.3837,291.2844,68.7848,0,U,66052,999,4551,.61423196E-3,.130879E-2,0
SZ-21 MODULE,2025-246C,2026-08-03T17:31:55.493760,15.80747182,.00090861,41.4731,10.3036,341.3230,18.7282,0,U,66515,999,4125,.31623011E-3,.63042E-3,0
DUPLEX,1998-067XS,2026-08-03T18:33:58.670208,15.66153673,.00024682,51.6259,48.5464,7.3092,352.7939,0,U,66906,999,3810,.42053667E-3,.43803E-3,0
KNACKSAT-2,1998-067XZ,2026-08-03T19:39:34.404480,15.64431805,.00069868,51.6274,54.1231,25.0657,335.0676,0,U,67683,999,2772,.54922543E-3,.53659E-3,0
GXIBA-1,1998-067YB,2026-08-03T19:44:35.002176,15.67005413,.00073328,51.6252,52.6297,21.0788,339.0509,0,U,67685,999,2774,.63426928E-3,.68976E-3,0
UITMSAT-2,1998-067YC,2026-08-03T19:51:33.987744,15.72956822,.00041606,51.6230,49.6433,333.7728,26.3060,0,U,67686,999,2778,.8972805E-3,.126154E-2,0
LEOPARD,1998-067YD,2026-08-03T22:24:04.216896,15.66558282,.00049842,51.6276,52.6467,346.0635,14.0223,0,U,67687,999,2767,.73055037E-3,.78133E-3,0
HMU-SAT2,1998-067YE,2026-08-03T19:38:46.547520,15.69999402,.00042609,51.6255,51.1103,343.6152,16.4707,0,U,67688,999,2768,.79379629E-3,.98087E-3,0
CREW DRAGON 12,2026-031A,2026-08-03T19:06:47.841984,15.49332738,.00072249,51.6316,64.4821,9.2337,350.8783,0,U,67796,999,57903,.14146099E-3,.7444E-4,0
PROGRESS-MS 33,2026-058A,2026-08-03T19:06:47.841984,15.49332738,.00072249,51.6316,64.4821,9.2337,350.8783,0,U,68319,999,57866,.14146099E-3,.7444E-4,0
CYGNUS NG-24,2026-079A,2026-08-03T19:06:47.841984,15.49332738,.00072249,51.6316,64.4821,9.2337,350.8783,0,U,68689,999,57915,.14146099E-3,.7444E-4,0
PROGRESS-MS 34,2026-093A,2026-08-03T19:06:47.841984,15.49332738,.00072249,51.6316,64.4821,9.2337,350.8783,0,U,68837,999,57919,.14146099E-3,.7444E-4,0
TIANZHOU-10,2026-102A,2026-08-03T21:20:17.656800,15.58767623,.00010056,41.4692,32.4131,278.9657,81.1067,0,U,69049,999,30040,.26196623E-3,.20511E-3,0
SHENZHOU-23 (SZ-23),2026-113A,2026-08-03T21:20:17.656800,15.58767623,.00010056,41.4692,32.4131,278.9657,81.1067,0,U,69180,999,30029,.26196623E-3,.20511E-3,0
SOYUZ-MS 29,2026-162A,2026-08-03T19:06:47.841984,15.49332738,.00072249,51.6316,64.4821,9.2337,350.8783,0,U,100057,999,57878,.14146099E-3,.7444E-4,0
